iter	MultiClass
0	1.439911639
1	1.329333942
2	1.243595102
3	1.177409637
4	1.122383221
5	1.077795963
6	1.039869249
7	1.006390204
8	0.9802991362
9	0.9555227267
10	0.9346049816
11	0.9167724883
12	0.9010049072
13	0.886210431
14	0.873839869
15	0.8641298873
16	0.8558735941
17	0.8471358155
18	0.8382637889
19	0.8324025658
20	0.8257200081
21	0.8203038636
22	0.8154663861
23	0.8106386061
24	0.8056904299
25	0.8017007525
26	0.7979782179
27	0.7943430689
28	0.7916489071
29	0.7892217576
30	0.7866983012
31	0.7848435347
32	0.7834558148
33	0.7813939754
34	0.7802901257
35	0.7781606981
36	0.7770853307
37	0.7754418103
38	0.774065798
39	0.7727848439
40	0.7717076144
41	0.7708427376
42	0.7700591225
43	0.7688566108
44	0.7685001684
45	0.7669610776
46	0.7659148367
47	0.7649344495
48	0.7639627016
49	0.7630234982
50	0.7624068069
51	0.761799932
52	0.7613579623
53	0.7604669576
54	0.7600772536
55	0.7598572025
56	0.7591459457
57	0.7585437295
58	0.7579407803
59	0.7575046498
60	0.7570289567
61	0.7566474061
62	0.7559901298
63	0.7557139369
64	0.7553709875
65	0.7551028729
66	0.7545446177
67	0.7541802796
68	0.7539468999
69	0.7533219695
70	0.7530846885
71	0.7525559426
72	0.7523188569
73	0.752080434
74	0.7520046989
75	0.7516496555
76	0.7510795654
77	0.7506785493
78	0.7505931001
79	0.7500414358
80	0.7493776756
81	0.7492377869
82	0.7489906967
83	0.7488030483
84	0.7481735122
85	0.7478661392
86	0.7475185632
87	0.7472563627
88	0.7468370642
89	0.7463758323
90	0.7459689345
91	0.7456892169
92	0.7454640505
93	0.7452117409
94	0.7449909957
95	0.7446447061
96	0.7443903476
97	0.7441050976
98	0.7439045117
99	0.7435617248
100	0.7429687227
101	0.7427869016
102	0.7424213779
103	0.7422836992
104	0.742043061
105	0.7416441008
106	0.7414196057
107	0.7410631575
108	0.7407675464
109	0.7405087689
110	0.7404405048
111	0.7402301833
112	0.7400402353
113	0.7397720396
114	0.7394707297
115	0.7393611927
116	0.7387253725
117	0.7385103473
118	0.738353315
119	0.738067931
120	0.7377512831
121	0.7375565058
122	0.7373652653
123	0.7372304024
124	0.7369839054
125	0.7365549717
126	0.7362599807
127	0.7359235339
128	0.7356337047
129	0.7355479321
130	0.7354288537
131	0.735102112
132	0.734961523
133	0.7347558092
134	0.7343778804
135	0.7342029335
136	0.7340414927
137	0.7338782779
138	0.7337231445
139	0.7334826953
140	0.7333772751
141	0.7332905671
142	0.7332129059
143	0.7329731179
144	0.7329168122
145	0.7326639245
146	0.7324550884
147	0.7322833978
148	0.7320867491
149	0.7319968277
150	0.7318448105
151	0.7317010322
152	0.7315617386
153	0.7314989303
154	0.7313784236
155	0.731219693
156	0.7310840272
157	0.73102367
158	0.7309023212
159	0.7306073335
160	0.7305082966
161	0.7304164133
162	0.7303121214
163	0.7299328242
164	0.729827767
165	0.7297322432
166	0.7295513934
167	0.7294291241
168	0.729351855
169	0.7292087058
170	0.7291183676
171	0.7289805083
172	0.7289053466
173	0.7287620542
174	0.7286863885
175	0.7285977999
176	0.7285590557
177	0.7284836109
178	0.7283338931
179	0.7282326708
180	0.7280919373
181	0.7279533176
182	0.7278923352
183	0.7277529301
184	0.7276993069
185	0.7275952355
186	0.727429984
187	0.7273497755
188	0.7272800425
189	0.7271718477
190	0.7270702644
191	0.727014289
192	0.7269802462
193	0.7268207282
194	0.7267676021
195	0.7264060096
196	0.7263633198
197	0.7262525367
198	0.7261778396
199	0.726033099
200	0.7259446832
201	0.7258512442
202	0.7257964609
203	0.7257128371
204	0.7256176625
205	0.725474268
206	0.7254006354
207	0.7253679725
208	0.7252973882
209	0.7251725553
210	0.7251020563
211	0.7250079267
212	0.7249217066
213	0.7247640719
214	0.7246384284
215	0.7245672087
216	0.7245133257
217	0.7243976204
218	0.7242471668
219	0.7241182938
220	0.7240579584
221	0.7239245667
222	0.7238078021
223	0.7236691997
224	0.7236222492
225	0.72353989
226	0.723421462
227	0.7232429823
228	0.7231790679
229	0.7230922558
230	0.7230249372
231	0.7229754506
232	0.7229326622
233	0.7227831885
234	0.7225922835
235	0.7225258447
236	0.7225054435
237	0.7224492927
238	0.7223948734
239	0.7223280023
240	0.7222707214
241	0.7221505071
242	0.7220847587
243	0.7220248214
244	0.7219226659
245	0.7218307334
246	0.7217915307
247	0.7217439575
248	0.7216286979
249	0.7215657243
250	0.7214938447
251	0.7214618897
252	0.721321139
253	0.7212152092
254	0.7211315293
255	0.7210918694
256	0.7210049942
257	0.7209709842
258	0.7209424431
259	0.7208995508
260	0.7208673141
261	0.7207800304
262	0.7207044019
263	0.7206725532
264	0.720632249
265	0.7205810517
266	0.7205002449
267	0.7204574714
268	0.7203866664
269	0.7203552895
270	0.7203195636
271	0.7202442022
272	0.7202079105
273	0.7201849359
274	0.7201225028
275	0.7200046133
276	0.7199535518
277	0.7199321992
278	0.7198649603
279	0.719727148
280	0.7196821142
281	0.7196547554
282	0.7196289813
283	0.7195703127
284	0.7195302172
285	0.7194885943
286	0.7194530929
287	0.7193977228
288	0.7193676412
289	0.7192990527
290	0.7192710546
291	0.7191820549
292	0.7191492595
293	0.7190523538
294	0.7189901563
295	0.7188943681
296	0.7188256586
297	0.7187965641
