iter	Passed	Remaining
0	26	26484
1	46	23337
2	76	25349
3	105	26258
4	145	28995
5	184	30624
6	238	33791
7	272	33834
8	298	32893
9	324	32128
10	356	32077
11	392	32324
12	435	33093
13	473	33379
14	524	34441
15	555	34173
16	610	35272
17	651	35563
18	693	35811
19	724	35521
20	762	35536
21	820	36464
22	862	36632
23	896	36460
24	927	36164
25	958	35904
26	996	35917
27	1036	35976
28	1068	35763
29	1102	35650
30	1134	35451
31	1167	35320
32	1199	35148
33	1241	35273
34	1267	34950
35	1293	34636
36	1329	34604
37	1363	34528
38	1399	34488
39	1441	34607
40	1498	35047
41	1547	35299
42	1601	35639
43	1642	35687
44	1692	35919
45	1743	36157
46	1782	36139
47	1820	36110
48	1854	35999
49	1889	35897
50	1919	35715
51	1944	35447
52	1988	35522
53	2042	35780
54	2078	35704
55	2101	35433
56	2133	35300
57	2167	35210
58	2200	35093
59	2236	35034
60	2273	34996
61	2315	35025
62	2362	35140
63	2402	35129
64	2430	34968
65	2467	34912
66	2508	34927
67	2547	34913
68	2586	34901
69	2649	35202
70	2716	35546
71	2754	35508
72	2787	35399
73	2825	35352
74	2861	35295
75	2901	35270
76	2927	35096
77	2955	34931
78	2988	34841
79	3021	34750
80	3048	34591
81	3073	34412
82	3108	34346
83	3144	34293
84	3182	34258
85	3220	34230
86	3250	34114
87	3285	34050
88	3332	34106
89	3393	34314
90	3439	34359
91	3499	34543
92	3559	34714
93	3612	34820
94	3665	34916
95	3713	34966
96	3757	34981
97	3789	34878
98	3823	34801
99	3860	34741
100	3911	34814
101	3964	34906
102	3999	34833
103	4038	34789
104	4072	34709
105	4110	34666
106	4143	34583
107	4177	34504
108	4212	34433
109	4244	34341
110	4269	34195
111	4299	34089
112	4331	34001
113	4353	33837
114	4377	33684
115	4414	33643
116	4451	33591
117	4486	33536
118	4526	33514
119	4562	33460
120	4590	33349
121	4614	33211
122	4637	33065
123	4667	32971
124	4698	32889
125	4718	32733
126	4744	32617
127	4777	32549
128	4817	32524
129	4858	32515
130	4897	32486
131	4933	32443
132	4959	32330
133	4981	32192
134	5007	32082
135	5030	31956
136	5051	31817
137	5083	31754
138	5131	31788
139	5176	31795
140	5210	31741
141	5235	31636
142	5270	31587
143	5323	31646
144	5378	31716
145	5418	31694
146	5462	31700
147	5500	31662
148	5529	31582
149	5556	31487
150	5588	31423
151	5608	31288
152	5632	31180
153	5666	31128
154	5702	31088
155	5726	30984
156	5753	30891
157	5776	30785
158	5799	30677
159	5826	30590
160	5860	30541
161	5894	30490
162	5932	30464
163	5984	30507
164	6043	30583
165	6094	30619
166	6160	30727
167	6214	30775
168	6275	30859
169	6356	31036
170	6416	31106
171	6463	31116
172	6512	31130
173	6558	31133
174	6620	31208
175	6658	31172
176	6687	31096
177	6717	31023
178	6745	30939
179	6778	30879
180	6806	30798
181	6835	30723
182	6862	30636
183	6888	30550
184	6908	30434
185	6929	30328
186	6956	30245
187	6998	30226
188	7026	30149
189	7051	30062
190	7077	29976
191	7100	29881
192	7120	29772
193	7144	29681
194	7162	29568
195	7194	29512
196	7225	29452
197	7272	29458
198	7316	29447
199	7342	29371
200	7370	29298
201	7392	29205
202	7420	29134
203	7455	29092
204	7489	29044
205	7528	29017
206	7558	28956
207	7592	28908
208	7623	28850
209	7647	28769
210	7674	28697
211	7699	28619
212	7723	28536
213	7772	28547
214	7820	28552
215	7857	28518
216	7911	28545
217	7953	28530
218	7991	28500
219	8026	28457
220	8066	28434
221	8117	28447
222	8148	28391
223	8207	28434
224	8284	28534
225	8364	28647
226	8410	28640
227	8461	28651
228	8493	28596
229	8533	28568
230	8580	28564
231	8618	28530
232	8644	28456
233	8675	28398
234	8704	28337
235	8733	28271
236	8760	28203
237	8792	28151
238	8834	28129
239	8929	28276
240	8996	28334
241	9041	28320
242	9085	28304
243	9135	28305
244	9164	28240
245	9191	28172
246	9244	28181
247	9296	28189
248	9336	28158
249	9405	28217
250	9447	28192
251	9497	28191
252	9535	28153
253	9569	28106
254	9613	28087
255	9636	28007
256	9663	27937
257	9682	27845
258	9704	27764
259	9736	27711
260	9767	27655
261	9821	27666
262	9887	27706
263	9927	27676
264	9975	27666
265	10016	27639
266	10070	27646
267	10108	27610
268	10141	27558
269	10165	27485
270	10195	27425
271	10233	27389
272	10256	27312
273	10276	27229
274	10305	27169
275	10328	27092
276	10352	27021
277	10379	26957
278	10408	26897
279	10427	26813
280	10450	26739
281	10475	26671
282	10497	26596
283	10530	26548
284	10568	26514
285	10604	26474
286	10645	26446
287	10682	26410
288	10715	26363
289	10743	26302
290	10767	26233
291	10796	26178
292	10823	26116
293	10862	26084
294	10889	26023
295	10926	25987
296	10981	25993
297	11035	25996
298	11092	26006
299	11125	25960
300	11152	25899
301	11189	25862
302	11217	25802
303	11242	25739
304	11269	25679
305	11293	25612
306	11314	25541
307	11342	25484
308	11367	25419
309	11391	25356
310	11419	25299
311	11447	25243
312	11469	25173
313	11491	25106
314	11516	25044
315	11537	24972
316	11561	24909
317	11584	24845
318	11605	24775
319	11632	24718
320	11664	24673
321	11694	24624
322	11716	24556
323	11743	24502
324	11780	24467
325	11818	24433
326	11862	24414
327	11892	24365
328	11922	24316
329	11959	24280
330	11982	24219
331	12007	24159
332	12041	24119
333	12075	24078
334	12096	24013
335	12117	23946
336	12144	23892
337	12164	23824
338	12191	23771
339	12214	23710
340	12238	23651
341	12265	23599
342	12294	23549
343	12316	23487
344	12340	23428
345	12378	23396
346	12445	23420
347	12509	23437
348	12578	23462
349	12631	23457
350	12693	23469
351	12732	23440
352	12789	23441
353	12834	23421
354	12868	23381
355	12903	23342
356	12962	23347
357	13003	23319
358	13049	23300
359	13096	23283
360	13136	23253
361	13166	23205
362	13204	23171
363	13238	23130
364	13274	23094
365	13311	23058
366	13352	23031
367	13383	22985
368	13414	22939
369	13442	22889
370	13464	22828
371	13497	22786
372	13532	22746
373	13562	22701
374	13592	22654
375	13622	22608
376	13649	22556
377	13689	22525
378	13717	22476
379	13748	22431
380	13782	22392
381	13830	22375
382	13877	22355
383	13926	22340
384	13969	22315
385	14017	22298
386	14053	22260
387	14084	22215
388	14118	22175
389	14164	22154
390	14196	22111
391	14230	22071
392	14282	22060
393	14330	22040
394	14365	22002
395	14393	21953
396	14422	21905
397	14453	21862
398	14480	21811
399	14532	21798
400	14580	21779
401	14617	21744
402	14645	21695
403	14665	21634
404	14702	21599
405	14734	21556
406	14760	21505
407	14797	21470
408	14822	21418
409	14857	21379
410	14894	21345
411	14917	21289
412	14943	21239
413	14971	21192
414	14997	21141
415	15024	21092
416	15057	21051
417	15087	21007
418	15118	20963
419	15150	20921
420	15187	20887
421	15215	20839
422	15237	20785
423	15258	20728
424	15283	20677
425	15307	20625
426	15333	20576
427	15375	20547
428	15408	20508
429	15436	20462
430	15460	20411
431	15494	20372
432	15528	20334
433	15569	20305
434	15605	20269
435	15685	20290
436	15723	20257
437	15756	20216
438	15799	20190
439	15831	20148
440	15861	20106
441	15888	20058
442	15918	20015
443	15949	19972
444	15981	19931
445	16005	19881
446	16030	19832
447	16055	19782
448	16077	19730
449	16106	19685
450	16134	19640
451	16167	19601
452	16191	19551
453	16218	19504
454	16246	19459
455	16274	19414
456	16299	19366
457	16328	19323
458	16356	19278
459	16388	19238
460	16413	19190
461	16446	19152
462	16481	19116
463	16521	19085
464	16586	19083
465	16627	19053
466	16666	19021
467	16703	18987
468	16729	18941
469	16756	18895
470	16794	18862
471	16819	18815
472	16850	18773
473	16873	18724
474	16896	18675
475	16925	18632
476	16952	18587
477	16979	18541
478	17004	18495
479	17028	18447
480	17047	18394
481	17070	18345
482	17099	18302
483	17121	18253
484	17151	18212
485	17183	18173
486	17215	18134
487	17234	18081
488	17259	18035
489	17281	17987
490	17306	17940
491	17343	17907
492	17382	17875
493	17416	17839
494	17445	17798
495	17471	17753
496	17499	17711
497	17531	17671
498	17561	17632
499	17597	17597
500	17639	17568
501	17687	17547
502	17717	17506
503	17755	17473
504	17788	17436
505	17820	17397
506	17842	17350
507	17862	17299
508	17888	17255
509	17918	17215
510	17943	17171
511	17965	17123
512	17995	17083
513	18020	17039
514	18042	16991
515	18067	16947
516	18090	16900
517	18112	16853
518	18140	16812
519	18170	16773
520	18191	16724
521	18216	16680
522	18239	16635
523	18259	16586
524	18283	16542
525	18314	16504
526	18340	16461
527	18371	16423
528	18401	16383
529	18421	16335
530	18440	16287
531	18464	16243
532	18484	16195
533	18511	16154
534	18538	16113
535	18561	16067
536	18588	16027
537	18610	15981
538	18630	15934
539	18652	15889
540	18675	15845
541	18700	15802
542	18730	15763
543	18755	15721
544	18778	15677
545	18803	15634
546	18827	15591
547	18847	15545
548	18874	15504
549	18901	15464
550	18924	15421
551	18953	15382
552	18985	15346
553	19012	15306
554	19033	15260
555	19065	15224
